time,o_open,o_high,o_low,o_close,o_volume
2024-05-19 12:00:00,67332.1,67332.1,66786.5,66839.2,250875.0
2024-05-19 13:00:00,66836.1,67175.0,66700.0,67036.8,304158.0
2024-05-19 14:00:00,67036.8,67137.7,66850.0,66926.2,120173.0
2024-05-19 15:00:00,66926.3,66990.4,66740.1,66897.3,103044.0
2024-05-19 16:00:00,66897.3,66998.6,66541.1,66650.4,259037.0
2024-05-19 17:00:00,66650.3,66821.7,66530.0,66712.4,230438.0
2024-05-19 18:00:00,66712.3,66754.9,66528.4,66589.1,84504.0
2024-05-19 19:00:00,66589.1,66650.1,65870.1,66040.9,833291.0
2024-05-19 20:00:00,66040.8,66297.5,66005.2,66158.9,120495.0
2024-05-19 21:00:00,66158.9,66354.0,65986.0,66280.2,117352.0
2024-05-19 22:00:00,66280.3,66457.2,66249.0,66365.3,66110.0
2024-05-19 23:00:00,66358.2,66358.2,66208.8,66264.0,89636.0
2024-05-20 00:00:00,66264.1,66488.0,66140.8,66454.4,94195.0
2024-05-20 01:00:00,66456.4,66585.5,66049.0,66506.7,234396.0
2024-05-20 02:00:00,66506.6,66759.9,66490.6,66662.0,146821.0
2024-05-20 03:00:00,66662.0,66750.0,66550.6,66661.4,78147.0
2024-05-20 04:00:00,66661.4,67160.4,66617.2,67140.1,244743.0
2024-05-20 05:00:00,67140.0,67298.9,67046.2,67144.1,172897.0
2024-05-20 06:00:00,67144.1,67168.8,66258.6,66417.0,316682.0
2024-05-20 07:00:00,66417.1,66896.7,66350.0,66822.6,279544.0
2024-05-20 08:00:00,66822.7,67054.9,66744.6,66759.2,123138.0
2024-05-20 09:00:00,66759.2,67005.9,66751.5,66898.6,83811.0
2024-05-20 10:00:00,66896.6,67360.0,66860.6,67103.8,317461.0
2024-05-20 11:00:00,67102.0,67294.3,66890.6,66989.5,176133.0
2024-05-20 12:00:00,66993.3,67084.9,66775.6,66916.1,138374.0
2024-05-20 13:00:00,66916.1,67192.6,66751.9,67093.1,263070.0
2024-05-20 14:00:00,67093.1,67099.5,66747.4,66988.7,209580.0
2024-05-20 15:00:00,66988.6,67500.0,66882.3,67406.6,482331.0
2024-05-20 16:00:00,67406.6,68250.0,67378.0,68178.6,1268325.0
2024-05-20 17:00:00,68178.6,68634.4,68031.3,68320.5,738655.0
2024-05-20 18:00:00,68320.4,68739.0,68276.4,68707.9,426885.0
2024-05-20 19:00:00,68706.8,70119.1,68581.4,70066.7,2409088.0
2024-05-20 20:00:00,70060.3,70486.2,69199.8,69505.3,1467716.0
2024-05-20 21:00:00,69520.8,69788.8,68929.2,69731.8,732234.0
2024-05-20 22:00:00,69736.4,69957.6,69548.7,69619.8,427262.0
2024-05-20 23:00:00,69620.5,71661.7,69613.6,71492.2,1477611.0
2024-05-21 00:00:00,71495.6,72067.4,71158.0,71352.7,902461.0
2024-05-21 01:00:00,71351.7,71351.7,70730.5,71127.1,660681.0
2024-05-21 02:00:00,71128.2,71440.0,70926.5,71281.5,405719.0
2024-05-21 03:00:00,71281.5,71400.0,71133.8,71295.5,191325.0
2024-05-21 04:00:00,71295.2,71295.2,70839.1,70918.1,239420.0
2024-05-21 05:00:00,70918.1,71234.0,70843.5,71212.7,192298.0
2024-05-21 06:00:00,71212.8,71414.2,71102.8,71204.7,176320.0
2024-05-21 07:00:00,71206.9,71235.2,70900.5,70900.6,141114.0
2024-05-21 08:00:00,70900.5,71100.0,70861.4,70904.3,229139.0
2024-05-21 09:00:00,70904.3,71068.1,70868.4,70986.7,128850.0
2024-05-21 10:00:00,70982.3,71290.0,70954.9,71052.5,190105.0
2024-05-21 11:00:00,71052.5,71433.8,70969.0,71090.9,462717.0
2024-05-21 12:00:00,71090.9,71470.4,71051.3,71364.8,446135.0
2024-05-21 13:00:00,71364.7,71364.7,70500.0,70587.7,864754.0
2024-05-21 14:00:00,70596.0,70955.2,70182.2,70220.8,672286.0
2024-05-21 15:00:00,70210.6,70515.2,69701.4,69853.3,708394.0
2024-05-21 16:00:00,69853.5,70270.1,69704.2,69704.2,642088.0
2024-05-21 17:00:00,69704.2,70000.0,69600.0,69896.4,379831.0
2024-05-21 18:00:00,69896.4,69985.0,69550.1,69860.0,214009.0
2024-05-21 19:00:00,69865.6,69966.6,69177.3,69295.9,676599.0
2024-05-21 20:00:00,69300.6,69786.3,69261.1,69739.3,238459.0
2024-05-21 21:00:00,69734.5,69829.5,69470.6,69746.2,96204.0
2024-05-21 22:00:00,69745.3,70232.8,69745.3,70232.8,367392.0
2024-05-21 23:00:00,70233.8,70385.5,70092.9,70146.7,166583.0
2024-05-22 00:00:00,70146.7,70276.5,70034.0,70111.9,144575.0
2024-05-22 01:00:00,70108.3,70206.3,70000.0,70160.9,174606.0
2024-05-22 02:00:00,70166.4,70375.0,69920.6,70010.5,322653.0
2024-05-22 03:00:00,70010.5,70065.3,69820.0,69955.8,326340.0
2024-05-22 04:00:00,69955.8,70009.9,69216.3,69636.1,641534.0
2024-05-22 05:00:00,69636.0,69953.1,69550.4,69914.5,397661.0
2024-05-22 06:00:00,69914.4,70078.7,69797.0,69879.8,200620.0
2024-05-22 07:00:00,69885.2,69910.5,69595.4,69724.2,312647.0
2024-05-22 08:00:00,69724.2,70230.3,69657.2,70022.7,249204.0
2024-05-22 09:00:00,70022.7,70111.3,69839.0,70014.1,465376.0
2024-05-22 10:00:00,70010.1,70249.4,69955.4,70200.0,186475.0
2024-05-22 11:00:00,70199.9,70283.7,69733.9,69733.9,326043.0
2024-05-22 12:00:00,69733.9,70108.0,69525.6,69675.2,621389.0
2024-05-22 13:00:00,69675.1,69915.5,69450.1,69600.0,616206.0
2024-05-22 14:00:00,69605.0,70195.4,69450.0,70094.7,904819.0
2024-05-22 15:00:00,70094.6,70608.0,69920.1,70441.0,802163.0
2024-05-22 16:00:00,70441.0,70683.6,70174.1,70224.9,610793.0
2024-05-22 17:00:00,70224.9,70434.3,69658.7,69851.3,730286.0
2024-05-22 18:00:00,69843.3,69890.5,69250.2,69586.6,928826.0
2024-05-22 19:00:00,69586.5,69837.7,69428.5,69663.4,328771.0
2024-05-22 20:00:00,69663.4,69990.0,69415.8,69477.2,693698.0
2024-05-22 21:00:00,69477.1,69699.9,68970.3,69516.6,811449.0
2024-05-22 22:00:00,69515.6,69552.9,69067.3,69182.6,441535.0
2024-05-22 23:00:00,69187.8,69275.7,69053.7,69200.1,306166.0
2024-05-23 00:00:00,69200.1,69660.0,69200.1,69539.9,293633.0
2024-05-23 01:00:00,69536.9,69636.8,69279.8,69500.2,186368.0
2024-05-23 02:00:00,69500.3,69588.6,69375.9,69519.3,122094.0
2024-05-23 03:00:00,69521.9,69541.8,69303.3,69458.4,161593.0
2024-05-23 04:00:00,69458.5,69616.7,69431.2,69571.8,129961.0
2024-05-23 05:00:00,69571.8,69594.9,69353.5,69493.3,249937.0
2024-05-23 06:00:00,69493.2,69699.9,69385.1,69566.9,220303.0
